product_id,product_name,category,subcategory,cost_price
P0001,Mobile,Electronics,Mobile,2118.8
P0002,Mobile,Electronics,Mobile,1299.03
P0003,Laptop,Electronics,Laptop,2198.5
P0004,Sofa,Home,Sofa,2803.51
P0005,Headphones,Electronics,Headphones,150.97
P0006,Shirt,Clothing,Shirt,2905.96
P0007,Jeans,Clothing,Jeans,2043.25
P0008,Novel,Books,Novel,4937.51
P0009,Chair,Home,Chair,1371.62
P0010,Shirt,Clothing,Shirt,906.57
P0011,Lamp,Home,Lamp,4932.99
P0012,Chair,Home,Chair,3426.89
P0013,Chair,Home,Chair,663.31
P0014,Table,Home,Table,2162.18
P0015,Sofa,Home,Sofa,666.87
P0016,Chair,Home,Chair,2115.82
P0017,T-Shirt,Clothing,T-Shirt,2579.43
P0018,Lamp,Home,Lamp,311.9
P0019,Lamp,Home,Lamp,442.76
P0020,Smart Watch,Electronics,Smart Watch,709.32
P0021,Headphones,Electronics,Headphones,1554.19
P0022,Jacket,Clothing,Jacket,1793.65
P0023,Shirt,Clothing,Shirt,4207.06
P0024,History,Books,History,1344.07
P0025,Headphones,Electronics,Headphones,2453.59
P0026,Jacket,Clothing,Jacket,4049.08
P0027,Mobile,Electronics,Mobile,3242.03
P0028,Laptop,Electronics,Laptop,794.79
P0029,Chair,Home,Chair,2083.24
P0030,Jeans,Clothing,Jeans,3713.0
P0031,Chair,Home,Chair,938.33
P0032,Headphones,Electronics,Headphones,179.91
P0033,Jacket,Clothing,Jacket,3050.92
P0034,Jacket,Clothing,Jacket,881.22
P0035,History,Books,History,3763.23
P0036,Science,Books,Science,485.24
P0037,History,Books,History,3699.4
P0038,Chair,Home,Chair,486.91
P0039,Shirt,Clothing,Shirt,322.6
P0040,Smart Watch,Electronics,Smart Watch,1094.76
P0041,T-Shirt,Clothing,T-Shirt,1155.96
P0042,Lamp,Home,Lamp,2894.94
P0043,Mobile,Electronics,Mobile,2369.05
P0044,Headphones,Electronics,Headphones,4702.78
P0045,T-Shirt,Clothing,T-Shirt,2507.25
P0046,Table,Home,Table,366.13
P0047,Mobile,Electronics,Mobile,2485.17
P0048,Sofa,Home,Sofa,4787.25
P0049,Mobile,Electronics,Mobile,4062.68
P0050,Smart Watch,Electronics,Smart Watch,2393.14
P0051,T-Shirt,Clothing,T-Shirt,1951.75
P0052,Smart Watch,Electronics,Smart Watch,1792.46
P0053,Jacket,Clothing,Jacket,3961.03
P0054,Lamp,Home,Lamp,2094.46
P0055,Table,Home,Table,4006.46
P0056,Jacket,Clothing,Jacket,4408.42
P0057,Shirt,Clothing,Shirt,1659.01
P0058,Novel,Books,Novel,2821.96
P0059,Programming,Books,Programming,4051.88
P0060,Headphones,Electronics,Headphones,4044.49
P0061,Lamp,Home,Lamp,2965.37
P0062,Novel,Books,Novel,1325.95
P0063,Jeans,Clothing,Jeans,703.9
P0064,Jacket,Clothing,Jacket,2196.77
P0065,Novel,Books,Novel,933.31
P0066,Chair,Home,Chair,3660.62
P0067,History,Books,History,3848.1
P0068,Mobile,Electronics,Mobile,1971.11
P0069,Chair,Home,Chair,1928.95
P0070,Shirt,Clothing,Shirt,4210.3
P0071,Science,Books,Science,4773.53
P0072,Headphones,Electronics,Headphones,2184.42
P0073,Sofa,Home,Sofa,3702.69
P0074,History,Books,History,4164.03
P0075,Headphones,Electronics,Headphones,3744.37
P0076,Science,Books,Science,4434.7
P0077,History,Books,History,3838.01
P0078,Sofa,Home,Sofa,3284.11
P0079,Shirt,Clothing,Shirt,2174.28
P0080,History,Books,History,1495.34
P0081,Programming,Books,Programming,3976.85
P0082,Chair,Home,Chair,3716.41
P0083,Science,Books,Science,2860.66
P0084,Novel,Books,Novel,3629.27
P0085,Novel,Books,Novel,709.22
P0086,Table,Home,Table,1162.56
P0087,T-Shirt,Clothing,T-Shirt,3902.49
P0088,Sofa,Home,Sofa,2894.06
P0089,Mobile,Electronics,Mobile,2557.52
P0090,Lamp,Home,Lamp,3589.14
P0091,Laptop,Electronics,Laptop,274.6
P0092,Mobile,Electronics,Mobile,1067.28
P0093,Chair,Home,Chair,3765.5
P0094,Laptop,Electronics,Laptop,1859.32
P0095,Science,Books,Science,1915.7
P0096,T-Shirt,Clothing,T-Shirt,3385.74
P0097,Mobile,Electronics,Mobile,1868.5
P0098,Smart Watch,Electronics,Smart Watch,1073.16
P0099,Novel,Books,Novel,1384.23
P0100,Laptop,Electronics,Laptop,2660.53
P0101,Lamp,Home,Lamp,4805.01
P0102,Shirt,Clothing,Shirt,1745.03
P0103,Headphones,Electronics,Headphones,3991.04
P0104,History,Books,History,3048.57
P0105,Science,Books,Science,1789.76
P0106,Programming,Books,Programming,4581.91
P0107,History,Books,History,2825.07
P0108,Sofa,Home,Sofa,4786.8
P0109,Chair,Home,Chair,3187.2
P0110,Sofa,Home,Sofa,449.62
P0111,Science,Books,Science,2295.15
P0112,Sofa,Home,Sofa,737.46
P0113,T-Shirt,Clothing,T-Shirt,1256.67
P0114,Headphones,Electronics,Headphones,2845.62
P0115,Laptop,Electronics,Laptop,1205.82
P0116,Table,Home,Table,1317.38
P0117,Table,Home,Table,1072.13
P0118,Mobile,Electronics,Mobile,4225.46
P0119,Smart Watch,Electronics,Smart Watch,161.14
P0120,Laptop,Electronics,Laptop,1799.01
P0121,Table,Home,Table,888.83
P0122,T-Shirt,Clothing,T-Shirt,3637.42
P0123,Lamp,Home,Lamp,1428.15
P0124,T-Shirt,Clothing,T-Shirt,685.07
P0125,Laptop,Electronics,Laptop,3854.54
P0126,Laptop,Electronics,Laptop,3506.16
P0127,Jacket,Clothing,Jacket,374.08
P0128,T-Shirt,Clothing,T-Shirt,2373.03
P0129,Science,Books,Science,3019.92
P0130,Science,Books,Science,4942.85
P0131,Novel,Books,Novel,2349.41
P0132,Smart Watch,Electronics,Smart Watch,586.3
P0133,Table,Home,Table,1338.07
P0134,History,Books,History,394.33
P0135,History,Books,History,1865.98
P0136,Chair,Home,Chair,3435.47
P0137,History,Books,History,2452.38
P0138,Shirt,Clothing,Shirt,4194.4
P0139,Table,Home,Table,4004.54
P0140,Chair,Home,Chair,890.48
P0141,Chair,Home,Chair,695.14
P0142,Laptop,Electronics,Laptop,2266.62
P0143,History,Books,History,1904.12
P0144,Jeans,Clothing,Jeans,2908.1
P0145,Headphones,Electronics,Headphones,3625.02
P0146,Jacket,Clothing,Jacket,3683.65
P0147,Chair,Home,Chair,333.71
P0148,Table,Home,Table,3326.82
P0149,Lamp,Home,Lamp,1691.46
P0150,Programming,Books,Programming,3520.07
P0151,Shirt,Clothing,Shirt,3669.28
P0152,Jeans,Clothing,Jeans,4514.0
P0153,Jeans,Clothing,Jeans,683.45
P0154,Headphones,Electronics,Headphones,4130.53
P0155,Lamp,Home,Lamp,2695.48
P0156,Science,Books,Science,1743.27
P0157,History,Books,History,3045.02
P0158,Laptop,Electronics,Laptop,4286.72
P0159,Sofa,Home,Sofa,4192.49
P0160,Shirt,Clothing,Shirt,3025.47
P0161,Laptop,Electronics,Laptop,1632.21
P0162,Jeans,Clothing,Jeans,3645.48
P0163,Smart Watch,Electronics,Smart Watch,4288.91
P0164,Programming,Books,Programming,4568.64
P0165,History,Books,History,103.57
P0166,Table,Home,Table,390.29
P0167,History,Books,History,1273.27
P0168,Shirt,Clothing,Shirt,1613.23
P0169,Headphones,Electronics,Headphones,984.96
P0170,Table,Home,Table,1480.89
P0171,Headphones,Electronics,Headphones,1982.52
P0172,Laptop,Electronics,Laptop,3267.03
P0173,Lamp,Home,Lamp,4256.84
P0174,Table,Home,Table,3990.59
P0175,Laptop,Electronics,Laptop,4936.69
P0176,Programming,Books,Programming,1024.68
P0177,Shirt,Clothing,Shirt,4159.45
P0178,Lamp,Home,Lamp,2172.55
P0179,T-Shirt,Clothing,T-Shirt,2808.91
P0180,Programming,Books,Programming,140.08
P0181,Sofa,Home,Sofa,3346.73
P0182,Novel,Books,Novel,2676.31
P0183,Programming,Books,Programming,976.47
P0184,Laptop,Electronics,Laptop,121.25
P0185,Mobile,Electronics,Mobile,2164.44
P0186,Novel,Books,Novel,137.15
P0187,T-Shirt,Clothing,T-Shirt,2131.02
P0188,Jeans,Clothing,Jeans,1949.47
P0189,Lamp,Home,Lamp,4641.15
P0190,Programming,Books,Programming,4414.79
P0191,Lamp,Home,Lamp,3637.47
P0192,Chair,Home,Chair,3550.73
P0193,Jeans,Clothing,Jeans,1107.19
P0194,Mobile,Electronics,Mobile,1098.47
P0195,Jeans,Clothing,Jeans,4482.89
P0196,Laptop,Electronics,Laptop,3383.58
P0197,Smart Watch,Electronics,Smart Watch,3190.75
P0198,Table,Home,Table,4983.62
P0199,Sofa,Home,Sofa,998.53
P0200,Lamp,Home,Lamp,4854.44
P0201,Smart Watch,Electronics,Smart Watch,2979.65
P0202,Science,Books,Science,2353.85
P0203,Science,Books,Science,546.13
P0204,T-Shirt,Clothing,T-Shirt,1574.2
P0205,History,Books,History,1192.38
P0206,Novel,Books,Novel,3259.1
P0207,Jeans,Clothing,Jeans,1862.62
P0208,Chair,Home,Chair,1872.25
P0209,Novel,Books,Novel,4265.48
P0210,Headphones,Electronics,Headphones,556.95
P0211,Sofa,Home,Sofa,545.32
P0212,Science,Books,Science,1630.12
P0213,Shirt,Clothing,Shirt,578.22
P0214,Jacket,Clothing,Jacket,3393.29
P0215,Programming,Books,Programming,2321.22
P0216,Chair,Home,Chair,1319.67
P0217,Sofa,Home,Sofa,1746.4
P0218,Lamp,Home,Lamp,4300.6
P0219,Novel,Books,Novel,1887.46
P0220,Sofa,Home,Sofa,408.96
P0221,Headphones,Electronics,Headphones,2474.47
P0222,Laptop,Electronics,Laptop,4967.98
P0223,Jeans,Clothing,Jeans,2553.87
P0224,Programming,Books,Programming,4522.68
P0225,Science,Books,Science,787.8
P0226,Mobile,Electronics,Mobile,574.33
P0227,Headphones,Electronics,Headphones,880.49
P0228,Science,Books,Science,4897.24
P0229,Lamp,Home,Lamp,1826.35
P0230,Headphones,Electronics,Headphones,2112.58
P0231,Shirt,Clothing,Shirt,3867.61
P0232,T-Shirt,Clothing,T-Shirt,1081.98
