item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O0430,P0141,2,4119.03,2.52
I00002,O0210,P0347,1,2256.39,53.42
I00003,O0447,P0044,1,868.37,36.56
I00004,O0009,P0106,5,3192.74,24.8
I00005,O0174,P0357,1,1075.77,41.69
I00006,O0123,P0373,4,139.19,36.02
I00007,O0382,P0420,2,4553.9,5.74
I00008,O0337,P0031,2,4958.29,23.54
I00009,O0003,P0196,3,672.88,2.01
I00010,O0384,P0440,4,2545.94,98.34
I00011,O0279,P0160,2,656.5,77.49
I00012,O0288,P0447,3,3821.06,1.56
I00013,O0426,P0099,2,2628.64,18.87
I00014,O0021,P0286,2,4834.54,7.72
I00015,O0220,P0153,3,2561.47,79.01
I00016,O0326,P0160,1,4767.12,85.12
I00017,O0043,P0277,1,1965.96,48.22
I00018,O0441,P0350,1,3088.01,62.1
I00019,O0068,P0093,3,967.78,25.84
I00020,O0098,P0444,2,537.72,62.82
I00021,O0045,P0102,3,4953.39,11.36
I00022,O0037,P0381,4,3984.86,84.22
I00023,O0486,P0061,5,2940.8,75.04
I00024,O0259,P0046,4,4696.78,16.77
I00025,O0430,P0275,-5,4835.58,85.25
I00026,O0400,P0379,5,3585.5,14.4
I00027,O0388,P0325,3,1118.32,55.74
I00028,O0472,P0013,3,1065.83,17.71
I00029,O0488,P0090,5,1031.2,48.93
I00030,O0155,P0003,3,2106.06,98.42
I00031,O0309,P0441,2,2697.9,99.19
I00032,O0096,P0342,1,818.56,86.53
I00033,O0389,P0054,3,2401.46,63.69
I00034,O0328,P0057,1,1035.9,28.01
I00035,O0167,P0048,2,1501.06,42.98
I00036,O0295,P0001,5,4663.57,49.19
I00037,O0449,P0063,5,4791.11,73.38
I00038,O0160,P0083,4,847.82,10.39
I00039,O0460,P0148,2,4330.98,0.27
I00040,O0448,P0432,1,956.2,36.49
I00041,O0141,P0361,2,3712.26,74.05
I00042,O0266,P0125,4,2564.11,94.94
I00043,O0139,P0384,2,400.51,59.36
I00044,O0476,P0478,5,1956.2,36.69
I00045,O0095,P0172,3,985.98,33.28
I00046,O0464,P0114,4,1032.21,84.06
I00047,O0108,P0038,3,948.36,35.53
I00048,O0235,P0083,5,1163.85,3.93
I00049,O0397,P0141,4,2958.56,64.99
I00050,O0328,P0278,4,1995.67,76.6
I00051,O0178,P0110,2,3202.25,85.82
I00052,O0492,P0019,4,4551.64,99.28
I00053,O0331,P0314,3,3893.34,36.66
I00054,O0483,P0192,2,4163.18,14.26
I00055,O0194,P0132,3,1950.87,51.43
I00056,O0470,P0426,1,4439.19,94.22
I00057,O0479,P0139,2,246.04,16.34
I00058,O0424,P0192,2,4832.01,47.22
I00059,O0466,P0154,5,369.82,78.38
I00060,O0436,P0020,-5,757.64,19.04
I00061,O0352,P0446,4,2303.69,85.42
I00062,O0013,P0288,1,4534.25,69.59
I00063,O0083,P0215,4,1051.41,98.43
I00064,O0112,P0046,4,3558.79,13.96
I00065,O0057,P0493,4,4024.14,48.8
I00066,O0385,P0478,4,3412.83,70.15
I00067,O0455,P0416,3,198.56,64.17
I00068,O0455,P0053,5,1268.9,10.34
I00069,O0278,P0413,2,3553.36,15.37
I00070,O0463,P0422,3,3787.09,16.83
I00071,O0406,P0083,3,1462.18,55.31
I00072,O0020,P0406,1,4030.6,66.22
I00073,O0025,P0451,2,2395.93,74.53
I00074,O0165,P0070,3,2851.04,77.52
I00075,O0046,P0048,5,2486.05,89.12
I00076,O0099,P0207,3,4243.82,6.56
I00077,O0284,P0083,3,2153.79,45.42
I00078,O0320,P0178,5,2535.39,51.91
I00079,O0301,P0122,3,3131.04,17.2
I00080,O0083,P0439,5,1116.17,27.93
I00081,O0481,P0380,3,1142.17,44.09
I00082,O0063,P0223,4,949.92,26.48
I00083,O0322,P0405,2,3857.8,50.9
I00084,O0402,P0064,2,842.36,71.1
I00085,O0135,P0360,4,457.55,90.61
I00086,O0400,P0366,5,589.6,31.08
I00087,O0346,P0224,4,1029.67,48.62
I00088,O0428,P0356,4,3800.99,21.78
I00089,O0275,P0488,2,1848.42,63.77
I00090,O0053,P0401,4,4831.85,68.58
I00091,O0226,P0008,5,4967.27,11.74
I00092,O0036,P0161,4,1422.13,30.64
I00093,O0308,P0403,1,2394.17,71.56
I00094,O0346,P0460,3,4904.57,17.99
I00095,O0270,P0196,2,2432.75,0.48
I00096,O0495,P0407,1,3687.25,37.54
I00097,O0341,P0076,3,1811.02,5.27
I00098,O0031,P0006,1,398.57,90.97
I00099,O0017,P0345,1,4186.86,23.49
I00100,O0043,P0449,5,2491.93,3.5
I00101,O0177,P0020,1,4410.26,1.24
I00102,O0317,P0241,4,1609.75,13.85
I00103,O0150,P0189,4,1050.2,91.46
I00104,O0001,P0129,3,966.67,87.81
I00105,O0409,P0153,4,364.33,70.18
I00106,O0258,P0239,5,1254.13,50.08
I00107,O0255,P0089,1,1802.53,69.13
I00108,O0001,P0167,3,4740.44,13.05
I00109,O0343,P0324,5,2142.74,21.86
I00110,O0037,P0434,2,177.56,97.51
I00111,O0366,P0427,5,4354.06,93.41
I00112,O0441,P0239,1,4106.39,33.34
I00113,O0406,P0466,2,453.88,98.07
I00114,O0216,P0326,2,1363.16,68.36
I00115,O0485,P0361,2,273.37,80.89
I00116,O0444,P0066,3,2481.25,65.81
I00117,O0354,P0402,2,3330.91,46.74
I00118,O0445,P0063,5,966.42,54.91
I00119,O0108,P0044,5,3763.65,3.16
I00120,O0191,P0298,5,162.72,56.3
I00121,O0066,P0365,1,2828.09,49.48
I00122,O0266,P0116,5,4328.72,29.41
I00123,O0215,P0102,2,3377.38,28.22
I00124,O0155,P0162,5,306.05,51.44
I00125,O0096,P0432,3,1055.38,27.03
I00126,O0334,P0324,1,447.91,83.95
I00127,O0292,P0227,2,240.25,36.0
I00128,O0173,P0265,5,2814.65,69.24
I00129,O0206,P0254,4,2657.06,24.9
I00130,O0332,P0478,4,1976.41,64.07
I00131,O0379,P0217,1,2160.09,0.69
I00132,O0355,P0069,3,3322.34,92.55
I00133,O0317,P0302,5,464.47,88.57
I00134,O0022,P0281,5,3646.73,31.24
I00135,O0419,P0027,1,3047.01,19.71
I00136,O0084,P0175,5,3968.11,27.95
I00137,O0146,P0095,4,320.42,75.97
I00138,O0330,P0198,1,4136.2,44.05
I00139,O0293,P0102,2,4715.65,54.15
I00140,O0480,P0029,2,2251.48,44.96
I00141,O0108,P0066,2,4072.95,11.01
I00142,O0269,P0164,3,2526.37,49.73
I00143,O0239,P0106,2,2423.92,85.84
I00144,O0393,P0183,5,433.31,16.41
I00145,O0468,P0493,3,684.38,66.17
I00146,O0176,P0170,2,4580.2,88.45
I00147,O0219,P0248,2,3568.37,33.77
I00148,O0333,P0283,5,163.62,93.94
I00149,O0010,P0011,3,1056.25,37.88
I00150,O0302,P0400,5,2276.95,44.32
I00151,O0126,P0419,4,2818.65,20.3
I00152,O0070,P0271,4,4720.86,22.87
