order_id,customer_id,order_date,status,region_code
O0001,C0039,2025-03-15 12:08:32,DELIVERED,East
O0002,C0157,2025-06-03 12:08:32,PLACED,East
O0003,C0492,2025-12-13 12:08:32,DELIVERED,East
O0004,C0093,2025-12-13 12:08:32,CANCELLED,East
O0005,C0336,2025-07-18 12:08:32,SHIPPED,West
O0006,C0220,2025-03-09 12:08:32,CANCELLED,East
O0007,C0295,2026-04-18 12:08:32,PLACED,East
O0008,C0131,2025-01-31 12:08:32,PLACED,South
O0009,C0105,2025-04-12 12:08:32,SHIPPED,North
O0010,C0486,2025-07-01 12:08:32,DELIVERED,North
O0011,C0174,2025-09-25 12:08:32,RETURNED,West
O0012,C0410,2024-11-10 12:08:32,DELIVERED,West
O0013,C0276,2025-03-05 12:08:32,CANCELLED,West
O0014,C0161,2024-09-07 12:08:32,DELIVERED,East
O0015,C0416,2025-02-12 12:08:32,SHIPPED,East
O0016,C0458,2024-08-24 12:08:32,DELIVERED,West
O0017,C0275,2025-12-17 12:08:32,CANCELLED,East
O0018,C0046,2025-09-06 12:08:32,SHIPPED,East
O0019,C0333,2026-01-23 12:08:32,SHIPPED,South
O0020,C0072,2024-12-03 12:08:32,CANCELLED,East
O0021,C0215,2026-06-03 12:08:32,CANCELLED,South
O0022,C0025,2024-08-14 12:08:32,CANCELLED,East
O0023,C0075,2025-11-14 12:08:32,RETURNED,West
O0024,C0023,2025-06-28 12:08:32,DELIVERED,West
O0025,C0074,2024-09-09 12:08:32,PLACED,West
O0026,C0321,2025-11-13 12:08:32,DELIVERED,East
O0027,C0096,2025-08-03 12:08:32,CANCELLED,North
O0028,C0352,28-08-2024,RETURNED,North
O0029,C0160,2025-02-06 12:08:32,DELIVERED,North
O0030,C0188,2024-09-06 12:08:32,CANCELLED,South
O0031,C0497,2025-06-06 12:08:32,CANCELLED,South
O0032,C0362,2025-08-19 12:08:32,CANCELLED,East
O0033,C0272,2026-04-03 12:08:32,DELIVERED,East
O0034,C0227,2025-03-20 12:08:32,SHIPPED,North
O0035,C0140,2025-12-03 12:08:32,RETURNED,West
O0036,C0353,2026-03-25 12:08:32,PLACED,West
O0037,C0420,2026-03-17 12:08:32,CANCELLED,East
O0038,C0160,2025-09-02 12:08:32,PLACED,South
O0039,C0229,2026-01-07 12:08:32,PLACED,West
O0040,C0495,2025-08-25 12:08:32,PLACED,North
O0041,C0309,2025-05-23 12:08:32,CANCELLED,East
O0042,C0068,2025-09-24 12:08:32,SHIPPED,West
O0043,,2025-05-17 12:08:32,SHIPPED,East
O0044,C0140,2025-10-08 12:08:32,PLACED,East
O0045,C0395,2025-06-06 12:08:32,SHIPPED,North
O0046,C0388,2026-05-24 12:08:32,SHIPPED,North
O0047,C0400,2025-01-12 12:08:32,CANCELLED,South
O0048,C0449,2024-10-19 12:08:32,RETURNED,North
O0049,C0300,2026-01-22 12:08:32,RETURNED,South
O0050,C0388,2024-08-29 12:08:32,RETURNED,South
O0051,C0294,2025-02-06 12:08:32,PLACED,East
O0052,C0009,2024-12-09 12:08:32,DELIVERED,North
O0053,C0146,02-11-2024,CANCELLED,South
O0054,C0450,2025-10-15 12:08:32,CANCELLED,South
O0055,C0463,2025-02-12 12:08:32,DELIVERED,East
O0056,C0284,2026-06-26 12:08:32,PLACED,North
O0057,,2025-08-01 12:08:32,DELIVERED,North
O0058,C0232,2025-06-23 12:08:32,PLACED,North
O0059,C0343,2025-06-03 12:08:32,SHIPPED,South
O0060,C0344,2025-02-11 12:08:32,CANCELLED,South
O0061,C0145,2026-05-29 12:08:32,SHIPPED,West
O0062,C0454,2025-10-24 12:08:32,CANCELLED,East
O0063,C0332,2026-03-09 12:08:32,SHIPPED,South
O0064,C0015,2025-11-09 12:08:32,SHIPPED,West
O0065,C0252,2026-05-12 12:08:32,CANCELLED,West
O0066,C0458,2025-01-30 12:08:32,DELIVERED,East
O0067,C0091,2026-01-14 12:08:32,SHIPPED,East
O0068,C0293,2025-03-09 12:08:32,DELIVERED,South
O0069,C0467,2026-05-10 12:08:32,SHIPPED,North
O0070,C0414,2024-10-03 12:08:32,RETURNED,South
O0071,C0358,13-01-2025,DELIVERED,West
O0072,C0366,2024-10-19 12:08:32,CANCELLED,West
O0073,C0237,2024-07-16 12:08:32,SHIPPED,East
O0074,C0261,25-12-2025,DELIVERED,South
O0075,C0122,2025-04-18 12:08:32,CANCELLED,North
O0076,C0045,2025-02-11 12:08:32,PLACED,North
O0077,C0230,2024-10-08 12:08:32,SHIPPED,East
